Radios              Ck
 0.149    -0.101 - i 0.109
 0.145    -0.134 - i 0.054
 0.027    -0.015 - i 0.022
 0.064    -0.063 + i 0.008
 0.043    -0.007 - i 0.042
 0.078    -0.077 + i 0.009
 0.047    -0.046 - i 0.006
 0.035    -0.023 + i 0.027
 0.085     0.002 + i 0.085
 0.218    -0.212 + i 0.049
 0.086    -0.083 + i 0.023
 0.134    -0.004 + i 0.134
 0.082    -0.082 - i 0.006
 0.035     0.016 + i 0.031
 0.202    -0.170 - i 0.110
 0.107    -0.087 - i 0.063
 0.183     0.086 - i 0.161
 0.099    -0.066 - i 0.074
 0.061    -0.031 + i 0.053
 0.105     0.014 + i 0.104
 0.135     0.078 + i 0.110
 0.173     0.042 + i 0.168
 0.156     0.135 + i 0.078
 0.031     0.027 - i 0.016
 0.091     0.091 + i 0.005
 0.222     0.080 - i 0.207
 0.154    -0.128 - i 0.085
 0.227    -0.220 - i 0.058
 0.115    -0.050 + i 0.103
 0.240    -0.236 - i 0.042
 0.062    -0.037 - i 0.050
 0.257    -0.153 - i 0.206
 0.053    -0.026 - i 0.046
 0.157     0.085 - i 0.132
 0.066    -0.046 - i 0.047
 0.302    -0.260 - i 0.153
 0.051    -0.039 - i 0.032
 0.134     0.003 + i 0.134
 0.160     0.146 + i 0.065
 0.118     0.111 - i 0.039
 0.218     0.207 - i 0.069
 0.234    -0.024 + i 0.232
 0.502     0.287 + i 0.412
 0.297     0.109 + i 0.276
 0.058     0.001 - i 0.058
 0.230    -0.230 + i 0.007
 0.657    -0.637 - i 0.161
 0.327    -0.324 - i 0.051
 0.058     0.058 + i 0.002
 0.356     0.350 + i 0.066
 0.438     0.405 + i 0.167
 0.242     0.169 - i 0.174
 0.345     0.307 + i 0.158
 0.061    -0.053 - i 0.029
 0.247    -0.028 + i 0.246
 0.406    -0.403 - i 0.050
 0.494    -0.099 + i 0.484
 0.416     0.112 - i 0.401
 0.271    -0.188 + i 0.195
 0.517     0.376 - i 0.355
 0.405    -0.211 + i 0.346
 0.463     0.276 + i 0.371
 0.634    -0.237 + i 0.588
 0.108    -0.077 + i 0.075
 0.365    -0.271 - i 0.244
 0.345     0.115 + i 0.325
 0.384    -0.282 - i 0.260
 0.401    -0.148 + i 0.372
 0.589    -0.443 - i 0.389
 0.338     0.166 - i 0.295
 0.466     0.459 - i 0.082
 0.502     0.501 - i 0.036
 0.386    -0.086 + i 0.376
 0.706    -0.353 + i 0.612
 0.886    -0.823 + i 0.328
 0.098    -0.010 - i 0.098
 0.315    -0.262 - i 0.175
 0.871     0.806 - i 0.332
 0.039    -0.021 - i 0.033
 0.078    -0.061 - i 0.049
 0.413     0.140 - i 0.389
 0.527     0.246 - i 0.466
 0.438     0.344 + i 0.270
 0.384     0.225 - i 0.311
 0.711    -0.278 + i 0.654
 0.387    -0.342 - i 0.183
 1.188    -1.168 + i 0.220
 0.286     0.279 + i 0.064
 1.055    -1.034 + i 0.208
 0.502     0.479 - i 0.151
 0.805    -0.674 - i 0.439
 0.410     0.396 + i 0.105
 0.808    -0.596 - i 0.545
 1.362    -0.161 + i 1.352
 1.163     0.282 - i 1.129
 0.275    -0.265 + i 0.072
 1.750     1.556 - i 0.800
 0.353     0.343 - i 0.084
 1.415     0.742 - i 1.205
 0.639     0.133 + i 0.625
 1.683    -1.590 - i 0.550
 1.429    -1.275 - i 0.647
 2.067    -1.675 - i 1.212
 0.749    -0.578 - i 0.475
 1.767    -1.675 + i 0.564
 1.861    -1.687 + i 0.785
 1.439    -1.381 + i 0.402
 1.079    -0.620 + i 0.884
 0.432     0.043 - i 0.430
 0.579     0.572 + i 0.087
 0.679     0.664 + i 0.143
 0.710     0.588 + i 0.398
 1.268    -1.203 - i 0.402
 1.849     0.347 - i 1.817
 0.905     0.513 - i 0.746
 1.931     1.637 - i 1.025
 1.753     0.613 + i 1.642
 1.320    -1.236 + i 0.464
 0.304    -0.022 + i 0.303
 1.381    -0.886 + i 1.059
 0.567    -0.563 + i 0.067
 0.401     0.229 + i 0.329
 1.674     1.442 - i 0.850
 0.995     0.960 + i 0.261
 2.408     0.488 + i 2.358
 1.484    -0.680 + i 1.320
 1.053    -0.881 - i 0.577
 1.901    -1.250 + i 1.432
 2.469     2.469 + i 0.028
 4.001    -3.996 + i 0.189
 1.214    -1.135 + i 0.430
 3.595     3.564 + i 0.475
 3.008    -2.906 - i 0.778
 3.858    -0.806 + i 3.773
 3.694    -2.029 - i 3.086
 2.577     2.332 - i 1.096
 3.968     0.472 + i 3.940
 0.491     0.343 - i 0.351
 8.463    -7.478 + i 3.963
 6.727     3.653 - i 5.648
12.958    11.110 + i 6.668
 7.427    -3.572 + i 6.512
 8.465    -6.709 + i 5.161
 9.203    -8.866 - i 2.471
 9.154    -3.268 - i 8.550
13.214     6.760 - i11.353
 8.800    -8.035 - i 3.589
19.595    -16.323 - i10.841
30.789    30.197 + i 6.010
32.715    -19.408 - i26.337
56.834    39.952 - i40.422
60.296    -10.497 + i59.375
69.527    14.937 + i67.903
