Radios              Ck
 0.074    -0.065 + i 0.034
 0.075     0.000 - i 0.075
 0.061    -0.018 - i 0.058
 0.019    -0.015 - i 0.012
 0.102     0.001 - i 0.102
 0.076    -0.005 - i 0.076
 0.061    -0.027 - i 0.055
 0.069    -0.056 + i 0.039
 0.029    -0.003 + i 0.029
 0.049    -0.048 + i 0.009
 0.042     0.031 - i 0.029
 0.075     0.043 - i 0.062
 0.025     0.023 + i 0.009
 0.010     0.007 - i 0.007
 0.101    -0.096 + i 0.031
 0.033    -0.033 + i 0.000
 0.064    -0.009 + i 0.064
 0.048     0.048 + i 0.002
 0.078     0.078 - i 0.001
 0.061     0.058 + i 0.017
 0.039     0.039 + i 0.005
 0.057    -0.038 + i 0.043
 0.078     0.074 - i 0.023
 0.072     0.026 - i 0.067
 0.124     0.120 + i 0.029
 0.035     0.013 - i 0.033
 0.051     0.032 + i 0.040
 0.003    -0.003 - i 0.001
 0.075    -0.025 + i 0.071
 0.042    -0.012 - i 0.041
 0.014    -0.009 - i 0.011
 0.057     0.049 - i 0.029
 0.045     0.002 + i 0.045
 0.040     0.004 + i 0.040
 0.083    -0.082 + i 0.015
 0.054    -0.006 + i 0.053
 0.042    -0.042 + i 0.008
 0.042    -0.011 + i 0.041
 0.042     0.038 - i 0.017
 0.079     0.079 + i 0.001
 0.006     0.006 - i 0.000
 0.041     0.018 + i 0.036
 0.090    -0.074 + i 0.052
 0.032    -0.023 + i 0.023
 0.031     0.010 + i 0.030
 0.025     0.024 + i 0.009
 0.059     0.019 - i 0.056
 0.054     0.016 + i 0.051
 0.027    -0.025 - i 0.009
 0.040    -0.037 - i 0.013
 0.052    -0.029 - i 0.044
 0.060    -0.042 - i 0.043
 0.038     0.024 + i 0.029
 0.082     0.056 + i 0.060
 0.044     0.041 + i 0.016
 0.045     0.020 - i 0.040
 0.019     0.007 - i 0.017
 0.028    -0.013 - i 0.024
 0.017     0.010 + i 0.013
 0.062     0.062 - i 0.001
 0.060     0.055 - i 0.025
 0.032     0.031 + i 0.006
 0.018     0.018 - i 0.001
 0.034    -0.004 - i 0.034
 0.040    -0.002 - i 0.040
 0.049    -0.001 - i 0.049
 0.032    -0.006 - i 0.032
 0.074     0.074 + i 0.004
 0.026     0.025 + i 0.005
 0.034     0.033 + i 0.008
 0.008    -0.007 - i 0.003
 0.055    -0.050 + i 0.022
 0.031     0.023 + i 0.022
 0.046     0.019 + i 0.042
 0.017    -0.007 + i 0.016
 0.038    -0.025 + i 0.028
 0.056     0.017 + i 0.053
 0.057     0.051 + i 0.027
 0.096     0.088 + i 0.040
 0.062     0.060 + i 0.015
 0.022     0.019 - i 0.011
 0.033    -0.003 + i 0.033
 0.015    -0.014 - i 0.004
 0.040    -0.036 - i 0.017
 0.051    -0.008 - i 0.051
 0.016    -0.002 - i 0.016
 0.026     0.026 + i 0.002
 0.029     0.005 + i 0.029
 0.047     0.036 + i 0.030
 0.009    -0.007 + i 0.005
 0.021    -0.004 + i 0.021
 0.018    -0.007 - i 0.016
 0.042    -0.042 + i 0.002
 0.023     0.022 - i 0.006
 0.021    -0.014 - i 0.016
 0.032    -0.005 - i 0.031
 0.046    -0.040 - i 0.024
 0.018    -0.000 - i 0.018
 0.045    -0.034 + i 0.030
 0.056    -0.006 + i 0.055
 0.027    -0.018 + i 0.020
 0.052     0.022 + i 0.047
 0.015    -0.012 - i 0.009
 0.011    -0.010 - i 0.004
 0.057    -0.047 - i 0.033
 0.029    -0.021 - i 0.021
 0.004     0.004 + i 0.002
 0.027     0.010 + i 0.024
 0.009    -0.000 - i 0.009
 0.034    -0.029 + i 0.018
 0.024    -0.023 - i 0.002
 0.012    -0.010 + i 0.007
 0.021     0.011 + i 0.018
 0.045     0.022 + i 0.039
 0.045     0.039 + i 0.023
 0.038    -0.014 + i 0.035
 0.015    -0.014 - i 0.003
 0.018     0.010 - i 0.015
 0.018     0.018 - i 0.002
 0.040     0.040 + i 0.002
 0.025     0.025 - i 0.000
 0.028    -0.028 - i 0.001
 0.018    -0.018 - i 0.002
 0.021    -0.021 + i 0.003
 0.026    -0.026 + i 0.000
 0.019     0.001 - i 0.019
 0.025     0.009 - i 0.023
 0.016     0.010 + i 0.012
 0.005     0.001 - i 0.005
 0.010    -0.002 - i 0.010
 0.007    -0.007 + i 0.000
 0.035     0.027 - i 0.021
 0.031     0.007 - i 0.030
 0.020    -0.012 - i 0.016
 0.025     0.002 - i 0.025
 0.048    -0.017 + i 0.045
 0.027    -0.012 + i 0.024
 0.008    -0.006 + i 0.006
 0.016     0.014 - i 0.007
 0.016     0.012 - i 0.011
 0.031     0.029 - i 0.011
 0.027     0.022 - i 0.017
 0.026     0.016 - i 0.020
 0.006     0.005 + i 0.002
 0.019    -0.016 + i 0.009
 0.005     0.005 - i 0.003
 0.008     0.008 - i 0.002
 0.024     0.017 + i 0.017
 0.015     0.014 + i 0.006
 0.015    -0.015 + i 0.000
 0.023    -0.017 + i 0.015
 0.009     0.004 + i 0.009
 0.055     0.040 + i 0.037
 0.054     0.049 + i 0.022
 0.043     0.043 + i 0.001
 0.028     0.017 - i 0.023
 0.030    -0.028 + i 0.009
 0.010    -0.010 - i 0.003
 0.030    -0.024 + i 0.018
 0.028     0.017 + i 0.022
 0.024     0.006 + i 0.024
 0.025     0.007 + i 0.024
 0.022    -0.004 + i 0.022
 0.004     0.004 + i 0.002
 0.032    -0.031 + i 0.010
 0.026    -0.026 - i 0.003
 0.041    -0.026 - i 0.031
 0.008    -0.007 - i 0.003
 0.015     0.009 - i 0.012
 0.011    -0.006 + i 0.009
 0.032    -0.031 + i 0.006
 0.037    -0.024 + i 0.028
 0.028    -0.013 + i 0.025
 0.024     0.002 + i 0.024
 0.021     0.009 + i 0.019
 0.015    -0.014 + i 0.005
 0.009    -0.001 + i 0.009
 0.015     0.005 + i 0.014
 0.024     0.018 - i 0.016
 0.032     0.026 - i 0.018
 0.024     0.005 - i 0.023
 0.003    -0.003 - i 0.002
 0.013    -0.011 - i 0.007
 0.030    -0.018 - i 0.025
 0.032    -0.017 - i 0.027
 0.009    -0.005 - i 0.008
 0.010    -0.001 - i 0.009
 0.026     0.016 - i 0.021
 0.033     0.029 - i 0.016
 0.027     0.015 - i 0.022
 0.004    -0.004 + i 0.001
 0.012     0.012 + i 0.002
 0.013     0.008 - i 0.011
 0.012     0.012 + i 0.001
 0.012    -0.011 + i 0.004
 0.023    -0.023 - i 0.004
 0.016    -0.013 + i 0.010
 0.023    -0.002 + i 0.023
 0.018    -0.018 + i 0.003
 0.007    -0.007 + i 0.002
 0.017     0.013 - i 0.011
 0.002    -0.002 - i 0.000
 0.029     0.027 + i 0.011
 0.011     0.004 + i 0.011
 0.010    -0.010 + i 0.002
 0.022    -0.019 + i 0.011
 0.035    -0.031 + i 0.015
 0.024    -0.023 - i 0.007
 0.011     0.002 + i 0.010
 0.006    -0.006 - i 0.001
 0.022    -0.015 + i 0.016
 0.033    -0.021 + i 0.025
 0.026    -0.012 + i 0.024
 0.022     0.007 + i 0.020
 0.028     0.006 + i 0.028
 0.008    -0.008 + i 0.003
 0.003    -0.003 + i 0.002
 0.015     0.000 - i 0.015
 0.008    -0.008 - i 0.002
 0.017    -0.015 - i 0.008
 0.013    -0.012 - i 0.005
